Dia;Casos acumulados;Casos nuevos ;Casos totales- Infectados;Susceptibles;Recuperados;Recuperados acumulados
13/04/2020;593033;26876;619909;330430091;44984;44984
14/04/2020;623476;304433;927909;330122091;5299;50283
15/04/2020;654383;30907;685290;330364710;2865;53148
16/04/2020;686158;31775;717933;330332067;3370;56518
17/04/2020;717744;31586;749330;330300670;3581;60099
18/04/2020;746252;28508;774760;330275240;6806;66905
19/04/2020;772007;25755;797762;330252238;4185;71090
20/04/2020;800377;28370;828747;330221253;2717;73807
21/04/2020;827113;26736;853849;330196151;2180;75987
22/04/2020;856693;29580;886273;330163727;17917;93904
23/04/2020;891224;34531;925755;330124245;3790;97694
24/04/2020;928462;37238;965700;330084300;3402;101096
25/04/2020;960066;31604;991670;330058330;6880;107976
26/04/2020;987130;27064;1014194;330035806;1094;109070
27/04/2020;1011569;24439;1036008;330013992;4563;113633
28/04/2020;1036815;25246;1062061;329987939;4646;118279
29/04/2020;1065631;28816;1094447;329955553;6740;125019
30/04/2020;1097063;31432;1128495;329921505;5993;131012
1/05/2020;1131975;34912;1166887;329883113;16504;147516
2/05/2020;1160453;28478;1188931;329861069;2717;150233
3/05/2020;1185764;25311;1211075;329838925;2015;152248
4/05/2020;1208480;22716;1231196;329818804;6801;159049
5/05/2020;1233620;25140;1258760;329791240;4655;163704
6/05/2020;1259163;25543;1284706;329765294;6052;169756
7/05/2020;1288079;28916;1316995;329733005;3821;173577
8/05/2020;1316667;28588;1345255;329704745;6779;180356
9/05/2020;1342198;25531;1367729;329682271;20949;201305
10/05/2020;1362389;20191;1382580;329667420;10048;211353
11/05/2020;1380859;18470;1399329;329650671;8627;219980
12/05/2020;1339674;18815;1358489;329691511;10881;230861
13/05/2020;1424489;21539;1446028;329603972;16030;237635
14/05/2020;1451126;26637;1477763;329572237;9853;254366
15/05/2020;1476081;24955;1501036;329548964;4609;258975
16/05/2020;1500848;24767;1525615;329524385;17889;276864
17/05/2020;1519960;19112;1539072;329510928;7936;284800
18/05/2020;1542704;22744;1565448;329484552;5809;290609
19/05/2020;1562726;20022;1582748;329467252;8767;299376
20/05/2020;1588867;26141;1615008;329434992;4448;303824
21/05/2020;1614972;26105;1641077;329408923;5183;309007
22/05/2020;1639275;24303;1663578;329386422;14342;323349
23/05/2020;1661026;21751;1682777;329367223;13150;336499
